cluster,latitude,longitude,urban_rural,state,wealth_index
377.0,11.0722508176,7.68046539532,U,Kaduna,0.49017499999999997
378.0,10.6241910078,7.46002175869,U,Kaduna,0.359325
379.0,10.5279399155,7.39021291331,U,Kaduna,0.28235899999999997
380.0,10.5204585127,7.38901699104,U,Kaduna,0.9936963333333334
381.0,10.5602589978,7.47379831746,U,Kaduna,1.1127714285714285
382.0,10.5124513293,7.41257718771,U,Kaduna,0.24714666666666668
383.0,10.4811227346,7.41487081992,U,Kaduna,0.6466043333333332
384.0,10.4801359639,7.39554286532,U,Kaduna,0.8972853333333333
385.0,10.4770946481,7.45054776107,U,Kaduna,0.7312316666666666
386.0,10.5303761313,7.47289753109,U,Kaduna,-0.057837
387.0,9.86544501471,7.95029644939,U,Kaduna,-0.11193633333333333
389.0,11.3173087154,7.50410217596,R,Kaduna,-0.8659396666666666
390.0,11.0413954012,7.33100258164,R,Kaduna,-0.6697176666666667
391.0,11.3021993714,7.81517969227,R,Kaduna,-0.9302286666666667
392.0,11.2873780837,8.05790864278,R,Kaduna,-0.6735690000000001
393.0,11.2037859551,8.15723954479,R,Kaduna,-0.7346316666666667
394.0,11.066975247,8.28209619164,R,Kaduna,-0.773064
395.0,10.7487654518,8.23646096157,R,Kaduna,-0.411783
396.0,11.0454796839,7.97866390997,R,Kaduna,-0.7121080000000001
397.0,10.8653293862,8.02259641978,R,Kaduna,-0.8471486666666667
398.0,10.9678783999,7.41330341119,R,Kaduna,-0.7932193333333333
399.0,10.7831441643,7.60016208721,R,Kaduna,-0.5869890000000001
400.0,10.6247937792,7.53340311712,R,Kaduna,-1.252585
401.0,10.2699853716,7.36305271635,R,Kaduna,-0.22441066666666665
402.0,10.4132602427,7.43689668918,R,Kaduna,0.8312456666666667
403.0,10.468002748,7.95163568646,R,Kaduna,-1.0463713333333333
404.0,10.610529973,8.09812203422,R,Kaduna,-0.9875772413793104
405.0,9.82869137845,8.53932959817,R,Kaduna,-0.9038206666666666
406.0,10.4147065643,8.53116374833,R,Kaduna,-0.8825924137931034
407.0,9.8866174715,8.11116043428,R,Kaduna,-1.0280973333333334
408.0,9.80637206271,8.19559856541,R,Kaduna,-0.528514
409.0,10.3048165715,8.04796446561,R,Kaduna,-1.384137
410.0,9.40420906406,7.85385521771,R,Kaduna,-0.6991736666666667
411.0,9.4936187595,7.96969187071,R,Kaduna,-1.1804106666666667
412.0,9.50191179994,8.51095860025,R,Kaduna,-0.05291733333333334
413.0,9.728422382,8.51700217641,R,Kaduna,-0.24591433333333335
414.0,9.29062490957,8.41280508615,R,Kaduna,-0.628235
415.0,12.7473164251,4.54383976545,U,Kebbi,0.5928821428571428
416.0,12.4620022463,4.19052860115,U,Kebbi,0.1321507142857143
417.0,12.4805364279,4.26540960466,U,Kebbi,0.014635333333333327
418.0,12.214123346,4.39323254373,U,Kebbi,-0.34079366666666666
419.0,11.847706369,3.66080934199,U,Kebbi,-0.37158033333333335
